,Date,total_case,new_case,total_death,new_death,total_recovered,new_recovered
0,3/19/2020,1,1,,,,
1,3/20/2020,,,,,,
2,3/21/2020,,,,,,
3,3/22/2020,,,,,,
4,3/23/2020,,,,,,
5,3/24/2020,,,,,,
6,3/25/2020,,,,,,
7,3/26/2020,,,,,,
8,3/27/2020,,,,,,
9,3/28/2020,,,,,,
10,3/29/2020,,,,,,
11,3/30/2020,,,,,,
12,3/31/2020,,,,,,
13,4/1/2020,,,,,,
14,4/2/2020,,,,,,
15,4/3/2020,,,,,,
16,4/4/2020,,,,,,
17,4/5/2020,,,,,,
18,4/6/2020,,,,,,
19,4/7/2020,5,4,,,,
20,4/8/2020,,,,,,
21,4/9/2020,6,1,,,,
22,4/10/2020,8,2,,,,
23,4/11/2020,11,3,,,,
24,4/12/2020,,,,,,
25,4/13/2020,14,3,,,,
26,4/14/2020,25,11,1,1,1,1
27,4/15/2020,40,15,1,0,2,1
28,4/16/2020,56,16,1,0,,
29,4/17/2020,62,6,1,0,,
30,4/18/2020,67,5,1,0,,
31,4/19/2020,73,6,1,0,,
32,4/20/2020,77,4,1,1,,
33,4/21/2020,82,5,2,0,6,4
34,4/22/2020,101,19,2,0,,
35,4/23/2020,118,17,2,1,12,6
36,4/24/2020,125,7,3,0,15,3
37,4/25/2020,147,22,3,1,,
38,4/26/2020,196,49,4,2,,
39,4/27/2020,221,25,4,0,17,2
40,4/28/2020,237,16,5,1,19,2
41,4/29/2020,249,12,5,1,20,1
42,4/30/2020,274,25,6,0,26,6
43,5/1/2020,311,37,6,2,35,9
44,5/2/2020,348,37,8,1,36,1
45,5/3/2020,361,13,9,3,,
46,5/4/2020,377,16,10,1,,
47,5/5/2020,403,26,10,0,48,12
48,5/6/2020,448,45,10,1,49,1
49,5/7/2020,478,30,11,1,57,8
50,5/8/2020,528,50,14,3,61,4
51,5/9/2020,572,44,16,2,67,6
52,5/10/2020,595,23,19,3,73,6
53,5/11/2020,623,28,19,1,80,7
54,5/12/2020,672,49,20,1,81,1
55,5/13/2020,713,41,21,1,87,6
56,5/14/2020,757,44,23,2,94,7
57,5/15/2020,773,16,26,3,119,25
58,5/16/2020,786,13,29,3,,
59,5/17/2020,789,3,30,1,147,28
60,5/18/2020,816,27,31,1,163,16
61,5/19/2020,836,20,32,2,176,13
62,5/20/2020,851,15,32,1,204,28
63,5/21/2020,866,15,33,1,208,4
64,5/22/2020,892,26,36,3,,
65,5/23/2020,910,18,38,2,,
66,5/24/2020,912,2,39,1,,
67,5/25/2020,930,18,40,1,210,2
68,5/26/2020,959,29,41,3,223,13
69,5/27/2020,981,22,42,1,224,1
70,5/28/2020,1011,30,43,1,235,11
71,5/29/2020,1025,14,45,2,242,7
72,5/30/2020,1066,41,47,2,360,118
73,5/31/2020,1083,17,47,1,408,48
74,6/1/2020,1105,22,48,1,448,40
75,6/2/2020,1131,26,48,1,467,19
76,6/3/2020,1166,35,49,1,471,4
77,6/4/2020,1196,30,51,2,474,3
78,6/5/2020,1222,26,51,1,491,17
79,6/6/2020,1251,29,52,1,545,54
80,6/7/2020,1287,36,53,1,573,28
81,6/8/2020,1305,18,54,2,597,24
82,6/9/2020,1338,33,54,1,626,29
83,6/10/2020,1374,36,55,1,657,31
84,6/11/2020,1426,52,57,2,692,35
85,6/12/2020,1482,56,57,1,698,6
86,6/13/2020,1521,39,58,1,715,17
87,6/14/2020,1542,21,59,1,741,26
88,6/15/2020,1595,53,62,3,752,11
89,6/16/2020,1652,57,64,2,774,22
90,6/17/2020,1707,55,66,4,786,12
91,6/18/2020,1744,37,68,2,812,26
92,6/19/2020,1779,35,68,2,837,25
93,6/20/2020,1805,26,69,1,854,17
94,6/21/2020,1811,6,69,1,872,18
95,6/22/2020,1844,33,70,1,889,17
96,6/23/2020,1891,47,71,2,932,43
97,6/24/2020,1947,56,72,1,977,45
98,6/25/2020,1993,46,74,3,1021,44
99,6/26/2020,2046,53,75,1,1030,9
100,6/27/2020,2082,36,78,3,1065,35
101,6/28/2020,2098,16,80,2,1070,5
102,6/29/2020,2134,36,82,2,1086,16
103,6/30/2020,2169,35,83,3,1104,18
104,7/1/2020,2207,38,84,1,1137,33
105,7/2/2020,2255,48,87,3,1167,30
106,7/3/2020,2311,56,90,3,1188,21
107,7/4/2020,2348,37,93,3,1198,10
108,7/5/2020,2371,23,93,0,1224,26
109,7/6/2020,2416,45,94,1,1237,13
110,7/7/2020,2466,50,99,5,1261,24
111,7/8/2020,2521,55,101,2,1280,19
112,7/9/2020,2577,56,102,1,1321,41
113,7/10/2020,2621,44,103,1,1357,36
114,7/11/2020,2649,28,105,2,1412,55
115,7/12/2020,2677,28,109,4,1445,33
116,7/13/2020,2723,46,111,2,1477,32
117,7/14/2020,2787,64,113,2,1508,31
118,7/15/2020,2845,58,114,3,1547,39
119,7/16/2020,2909,64,116,2,1570,23
120,7/17/2020,2971,62,116,2,1595,25
121,7/18/2020,3014,43,117,1,1624,29
122,7/19/2020,3033,19,118,1,1669,45
123,7/20/2020,3082,49,119,1,1706,37
124,7/21/2020,3139,57,119,1,1750,44
125,7/22/2020,3203,64,120,1,1806,56
126,7/23/2020,3277,74,121,1,1846,40
127,7/24/2020,3342,65,122,1,1880,34
128,7/25/2020,3381,39,122,1,1954,74
129,7/26/2020,3431,50,123,1,1998,44
130,7/27/2020,3478,47,123,0,2003,5
131,7/28/2020,3556,78,124,2,2061,58
132,7/29/2020,3626,70,127,3,2109,48
