,date,total_cases,new_cases,total_deaths,new_deaths
0,2020-03-04,1,1,,
1,2020-03-05,,,,
2,2020-03-06,,,,
3,2020-03-07,,,,
4,2020-03-08,,,,
5,2020-03-09,,,,
6,2020-03-10,,,,
7,2020-03-11,3,2,,
8,2020-03-12,,,1,1
9,2020-03-13,,,,
10,2020-03-14,,,,
11,2020-03-15,7,4,,
12,2020-03-16,14,7,2,1
13,2020-03-17,16,2,,
14,2020-03-18,26,10,3,1
15,2020-03-19,41,15,,
16,2020-03-20,47,6,,
17,2020-03-21,73,26,,
18,2020-03-22,,,,
19,2020-03-23,97,24,,
20,2020-03-24,145,48,5,2
21,2020-03-25,156,11,,
22,2020-03-26,237,81,,
23,2020-03-27,311,74,8,3
24,2020-03-28,418,107,,
25,2020-03-29,480,62,11,3
26,2020-03-30,645,165,17,6
27,2020-03-31,794,149,20,3
28,2020-04-01,897,103,22,2
29,2020-04-02,1072,175,27,5
30,2020-04-03,1225,153,32,5
31,2020-04-04,1251,26,28,3
32,2020-04-05,1319,68,38,1
33,2020-04-06,1462,143,45,7
34,2020-04-07,1668,206,52,7
35,2020-04-08,1892,224,57,5
36,2020-04-09,2227,335,70,13
37,2020-04-10,2511,284,74,4
38,2020-04-11,2801,290,84,10
39,2020-04-12,3104,303,93,9
40,2020-04-13,3420,316,99,6
41,2020-04-14,3764,344,108,9
42,2020-04-15,4161,397,116,8
43,2020-04-16,4662,501,125,9
44,2020-04-17,5106,444,133,8
45,2020-04-18,5449,343,141,8
46,2020-04-19,5710,261,151,10
47,2020-04-20,6125,415,161,10
48,2020-04-21,6592,467,174,13
49,2020-04-22,7170,578,187,13
50,2020-04-23,7647,477,193,6
51,2020-04-24,8125,478,201,8
52,2020-04-25,8617,492,209,8
53,2020-04-26,9009,392,220,11
54,2020-04-27,9410,401,239,19
55,2020-04-28,9866,456,250,11
56,2020-04-29,10406,540,261,11
57,2020-04-30,10861,455,272,11
58,2020-05-01,11411,550,279,7
59,2020-05-02,11913,502,288,9
